Course Code,Course Name,Credits,Prereqs,Description
ACCT 166,SPECIAL PROBLEM,1-3,No prerequisites.,Description not available.
ACCT 200,Survey of Accounting,4,No prerequisites.,"Survey of financial and managerial accounting concepts for the non-business major. Students learn about financial statements for merchandising, manufacturing, and service companies. Topics include: accounting cycle, budgeting, standard costing, contribution margins, cost-volume-profit analysis, and decision making."
ACCT 201,The Accounting Experience,1,No prerequisites.,"How do you know whether the job you seek is a good match when you don’t completely understand what the job entails? It may be three years before you have the opportunity to take a tax class, but you may be selected to interview with a firm’s tax practice. Do you want a big firm or a small firm? Does the position require technology skills you currently possess or plan on acquiring? At the end of this class, you should be equipped to make well-informed choices during that first round of interviews, which will lead to initial internship and subsequent job offers that fit your goals, your preferences, and your skills."
ACCT 207,Accounting I,3,No prerequisites.,"An introduction to financial accounting. Topics: the accounting cycle, merchandise accounting, accounting procedures for cash, receivables, payables, inventories, plant and equipment, stocks and bonds."
ACCT 208,Accounting II,3,"ACCT 207, ACCT 207","Introduction to managerial accounting. Topics: manufacturing accounting, cost-volume-profit analysis, job-order accounting, budgeting, standard costs and variance analysis, contribution approach to decision analysis, absorption and variable costing."
ACCT 266,SPECIAL PROBLEM,1-3,No prerequisites.,Description not available.
ACCT 267,SEMINAR,1-6,No prerequisites.,Description not available.
ACCT 302,Accounting Information Systems,3,"ACCT 208, MISY 160, CISC 101","Accounting information and its place within an organization’s overall management information system. Emphasis on information and document flow, internal control, data organization, and analysis, design, development, and audit of computer-based accounting systems. Includes some computer work."
ACCT 305,Information Security and Risk Management,3,MISY 160,"This course introduces the fundamental concepts of information and cybersecurity. It covers how to protect the confidentiality, integrity, and availability of data and information systems that modern organizations depend upon. The domains examined include network security, risk management, governance, physical security, cryptography, business continuity, and legal issues. Special consideration is given to studying major information security incidents and cybersecurity trends. You will learn about the threats and vulnerabilities facing computer systems and tools and techniques used to secure them.    "
ACCT 313,Taxation for Business and Investment Planning,3,"ACCT 200, ACCT 207","Explores taxable entities, tax aspects of selecting a business form, incomeconcepts, business deductions, tax factors in the acquisition, use, anddisposition of fixed assets, nontaxable transactions, capital gains andlosses, and tax planning."
